년,월,구분,인구수,행정동코드,행정동,행정동_시도명,행정동_시군구명,행정동_읍면동명,행정동시군구코드,행정동읍면동코드,행정동_주소
2022,10,남자인구수,6327,1120055000,사근동,서울특별시,성동구,사근동,11200,55000,서울특별시 성동구 사근동
2022,10,여자인구수,5757,1120055000,사근동,서울특별시,성동구,사근동,11200,55000,서울특별시 성동구 사근동
2022,10,총인구수,13760,1120056000,행당제1동,서울특별시,성동구,행당제1동,11200,56000,서울특별시 성동구 행당제1동
2022,10,남자인구수,6622,1120056000,행당제1동,서울특별시,성동구,행당제1동,11200,56000,서울특별시 성동구 행당제1동
2022,10,여자인구수,7138,1120056000,행당제1동,서울특별시,성동구,행당제1동,11200,56000,서울특별시 성동구 행당제1동
2022,10,총인구수,23068,1120057000,행당제2동,서울특별시,성동구,행당제2동,11200,57000,서울특별시 성동구 행당제2동
2022,10,남자인구수,10766,1120057000,행당제2동,서울특별시,성동구,행당제2동,11200,57000,서울특별시 성동구 행당제2동
2022,10,여자인구수,12302,1120057000,행당제2동,서울특별시,성동구,행당제2동,11200,57000,서울특별시 성동구 행당제2동
2022,10,총인구수,15035,1120058000,응봉동,서울특별시,성동구,응봉동,11200,58000,서울특별시 성동구 응봉동
2022,10,남자인구수,7174,1120058000,응봉동,서울특별시,성동구,응봉동,11200,58000,서울특별시 성동구 응봉동
2022,10,여자인구수,7861,1120058000,응봉동,서울특별시,성동구,응봉동,11200,58000,서울특별시 성동구 응봉동
2022,10,총인구수,15019,1120059000,금호1가동,서울특별시,성동구,금호1가동,11200,59000,서울특별시 성동구 금호1가동
2022,10,남자인구수,7178,1120059000,금호1가동,서울특별시,성동구,금호1가동,11200,59000,서울특별시 성동구 금호1가동
2022,10,여자인구수,7841,1120059000,금호1가동,서울특별시,성동구,금호1가동,11200,59000,서울특별시 성동구 금호1가동
2022,10,총인구수,22299,1120061500,금호2.3가동,서울특별시,성동구,금호2.3가동,11200,61500,서울특별시 성동구 금호2.3가동
2022,10,남자인구수,10645,1120061500,금호2.3가동,서울특별시,성동구,금호2.3가동,11200,61500,서울특별시 성동구 금호2.3가동
2022,10,여자인구수,11654,1120061500,금호2.3가동,서울특별시,성동구,금호2.3가동,11200,61500,서울특별시 성동구 금호2.3가동
2022,10,총인구수,14139,1120062000,금호4가동,서울특별시,성동구,금호4가동,11200,62000,서울특별시 성동구 금호4가동
2022,10,남자인구수,6690,1120062000,금호4가동,서울특별시,성동구,금호4가동,11200,62000,서울특별시 성동구 금호4가동
2022,10,여자인구수,7449,1120062000,금호4가동,서울특별시,성동구,금호4가동,11200,62000,서울특별시 성동구 금호4가동
2022,10,총인구수,25605,1120064500,옥수동,서울특별시,성동구,옥수동,11200,64500,서울특별시 성동구 옥수동
2022,10,남자인구수,11901,1120064500,옥수동,서울특별시,성동구,옥수동,11200,64500,서울특별시 성동구 옥수동
2022,10,여자인구수,13704,1120064500,옥수동,서울특별시,성동구,옥수동,11200,64500,서울특별시 성동구 옥수동
2022,10,총인구수,16146,1120065000,성수1가제1동,서울특별시,성동구,성수1가제1동,11200,65000,서울특별시 성동구 성수1가제1동
2022,10,남자인구수,8010,1120065000,성수1가제1동,서울특별시,성동구,성수1가제1동,11200,65000,서울특별시 성동구 성수1가제1동
2022,10,여자인구수,8136,1120065000,성수1가제1동,서울특별시,성동구,성수1가제1동,11200,65000,서울특별시 성동구 성수1가제1동
2022,10,총인구수,12144,1120066000,성수1가제2동,서울특별시,성동구,성수1가제2동,11200,66000,서울특별시 성동구 성수1가제2동
2022,10,남자인구수,5960,1120066000,성수1가제2동,서울특별시,성동구,성수1가제2동,11200,66000,서울특별시 성동구 성수1가제2동
2022,10,여자인구수,6184,1120066000,성수1가제2동,서울특별시,성동구,성수1가제2동,11200,66000,서울특별시 성동구 성수1가제2동
2022,10,총인구수,15336,1120067000,성수2가제1동,서울특별시,성동구,성수2가제1동,11200,67000,서울특별시 성동구 성수2가제1동
2022,10,남자인구수,7991,1120067000,성수2가제1동,서울특별시,성동구,성수2가제1동,11200,67000,서울특별시 성동구 성수2가제1동
2022,10,여자인구수,7345,1120067000,성수2가제1동,서울특별시,성동구,성수2가제1동,11200,67000,서울특별시 성동구 성수2가제1동
2022,10,총인구수,10452,1120069000,성수2가제3동,서울특별시,성동구,성수2가제3동,11200,69000,서울특별시 성동구 성수2가제3동
2022,10,남자인구수,5221,1120069000,성수2가제3동,서울특별시,성동구,성수2가제3동,11200,69000,서울특별시 성동구 성수2가제3동
2022,10,여자인구수,5231,1120069000,성수2가제3동,서울특별시,성동구,성수2가제3동,11200,69000,서울특별시 성동구 성수2가제3동
2022,10,총인구수,10154,1120072000,송정동,서울특별시,성동구,송정동,11200,72000,서울특별시 성동구 송정동
2022,10,남자인구수,5359,1120072000,송정동,서울특별시,성동구,송정동,11200,72000,서울특별시 성동구 송정동
2022,10,여자인구수,4795,1120072000,송정동,서울특별시,성동구,송정동,11200,72000,서울특별시 성동구 송정동
2022,10,총인구수,11572,1120079000,용답동,서울특별시,성동구,용답동,11200,79000,서울특별시 성동구 용답동
2022,10,남자인구수,5990,1120079000,용답동,서울특별시,성동구,용답동,11200,79000,서울특별시 성동구 용답동
2022,10,여자인구수,5582,1120079000,용답동,서울특별시,성동구,용답동,11200,79000,서울특별시 성동구 용답동
2022,10,총인구수,23620,1121571000,화양동,서울특별시,광진구,화양동,11215,71000,서울특별시 광진구 화양동
2022,10,남자인구수,11222,1121571000,화양동,서울특별시,광진구,화양동,11215,71000,서울특별시 광진구 화양동
2022,10,여자인구수,12398,1121571000,화양동,서울특별시,광진구,화양동,11215,71000,서울특별시 광진구 화양동
2022,10,총인구수,19440,1121573000,군자동,서울특별시,광진구,군자동,11215,73000,서울특별시 광진구 군자동
2022,10,남자인구수,9626,1121573000,군자동,서울특별시,광진구,군자동,11215,73000,서울특별시 광진구 군자동
2022,10,여자인구수,9814,1121573000,군자동,서울특별시,광진구,군자동,11215,73000,서울특별시 광진구 군자동
2022,10,총인구수,15268,1121574000,중곡제1동,서울특별시,광진구,중곡제1동,11215,74000,서울특별시 광진구 중곡제1동
2022,10,남자인구수,7340,1121574000,중곡제1동,서울특별시,광진구,중곡제1동,11215,74000,서울특별시 광진구 중곡제1동
2022,10,여자인구수,7928,1121574000,중곡제1동,서울특별시,광진구,중곡제1동,11215,74000,서울특별시 광진구 중곡제1동
2022,10,총인구수,21020,1121575000,중곡제2동,서울특별시,광진구,중곡제2동,11215,75000,서울특별시 광진구 중곡제2동
2022,10,남자인구수,9916,1121575000,중곡제2동,서울특별시,광진구,중곡제2동,11215,75000,서울특별시 광진구 중곡제2동
2022,10,여자인구수,11104,1121575000,중곡제2동,서울특별시,광진구,중곡제2동,11215,75000,서울특별시 광진구 중곡제2동
2022,10,총인구수,15939,1121576000,중곡제3동,서울특별시,광진구,중곡제3동,11215,76000,서울특별시 광진구 중곡제3동
2022,10,남자인구수,7884,1121576000,중곡제3동,서울특별시,광진구,중곡제3동,11215,76000,서울특별시 광진구 중곡제3동
2022,10,여자인구수,8055,1121576000,중곡제3동,서울특별시,광진구,중곡제3동,11215,76000,서울특별시 광진구 중곡제3동
2022,10,총인구수,28063,1121577000,중곡제4동,서울특별시,광진구,중곡제4동,11215,77000,서울특별시 광진구 중곡제4동
2022,10,남자인구수,13733,1121577000,중곡제4동,서울특별시,광진구,중곡제4동,11215,77000,서울특별시 광진구 중곡제4동
2022,10,여자인구수,14330,1121577000,중곡제4동,서울특별시,광진구,중곡제4동,11215,77000,서울특별시 광진구 중곡제4동
2022,10,총인구수,11215,1121578000,능동,서울특별시,광진구,능동,11215,78000,서울특별시 광진구 능동
2022,10,남자인구수,5155,1121578000,능동,서울특별시,광진구,능동,11215,78000,서울특별시 광진구 능동
2022,10,여자인구수,6060,1121578000,능동,서울특별시,광진구,능동,11215,78000,서울특별시 광진구 능동
2022,10,총인구수,34270,1121581000,광장동,서울특별시,광진구,광장동,11215,81000,서울특별시 광진구 광장동
2022,10,남자인구수,16569,1121581000,광장동,서울특별시,광진구,광장동,11215,81000,서울특별시 광진구 광장동
2022,10,여자인구수,17701,1121581000,광장동,서울특별시,광진구,광장동,11215,81000,서울특별시 광진구 광장동
2022,10,총인구수,21925,1121582000,자양제1동,서울특별시,광진구,자양제1동,11215,82000,서울특별시 광진구 자양제1동
2022,10,남자인구수,10643,1121582000,자양제1동,서울특별시,광진구,자양제1동,11215,82000,서울특별시 광진구 자양제1동
2022,10,여자인구수,11282,1121582000,자양제1동,서울특별시,광진구,자양제1동,11215,82000,서울특별시 광진구 자양제1동
2022,10,총인구수,23909,1121583000,자양제2동,서울특별시,광진구,자양제2동,11215,83000,서울특별시 광진구 자양제2동
2022,10,남자인구수,11585,1121583000,자양제2동,서울특별시,광진구,자양제2동,11215,83000,서울특별시 광진구 자양제2동
